content,country,recipient,sender,timestamp
I'll probably be by tomorrow (or even later tonight if something's going on),KH,129876606,929875475,1516365841
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ML,12-9876607,929875476,1516364721
Ya:)going for restaurant..,ME,129876602,929875525,1516365461
Hey what how about your project. Started aha da.,GZ,129876553,92-9875506,1516364368
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",GI,129876585,92-9875506,1516364684
"Arms fine, how's Cardiff and uni?",CM,129876600,92-9875469,1516364582
Nope i'll come online now..,TM,12-9876612,929875488,1516365399
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,IQ,12-9876609,92-9875447,1516364512
"complimentary 4 STAR Ibiza Holiday or �10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",KP,12-9876627,999999990,1516365721
Hey i'm bored... So i'm thinking of u... So wat r u doing?,LT,12-9876573,92-9875516,1516364279
I'm at work. Please call,MP,129876541,92-9875490,1516364768
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,FK,12-9876577,92-9875458,1516366116
U guys never invite me anywhere :(,GM,129876623,929875434,1516366134
Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,AI,12-9876558,929875508,1516364428
it's really getting me down just hanging around.,BR,129876558,92-9875440,1516365623
Now i'm going for lunch.,AE,129876587,929875482,1516364533
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,CM,12-9876554,929875441,1516365979
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",MX,12-9876583,999999997,1516365485
Take us out shopping and Mark will distract Isaiah.=D,AD,12-9876612,92-9875470,1516365676
By monday next week. Give me the full gist,GP,129876536,92-9875452,1516365505
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,GS,129876629,999999997,1516365477
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",FK,12-9876585,929875517,1516364563
Yetunde i'm in class can you not run water on it to make it ok. Pls now.,HM,12-9876606,92-9875515,1516365993
No he didn't. Spring is coming early yay!,PE,12-9876575,929875456,1516364388
