content,country,recipient,sender,timestamp
Of course. I guess god's just got me on hold right now.,AT,12-9876544,92-9875458,1516365894
Todays Vodafone numbers ending with 4882 are selected to a receive a �350 award. If your number matches call 09064019014 to receive your �350 award.,PA,12-9876590,999999998,1516365611
Aiya we discuss later lar... Pick �_ up at 4 is it?,JO,12-9876583,929875510,1516365935
I don't know but I'm raping dudes at poker,NZ,12-9876623,92-9875488,1516365527
Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,SZ,129876577,92-9875484,1516365824
Whatsup there. Dont u want to sleep,PM,129876596,92-9875480,1516366148
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,GE,129876594,929875474,1516366113
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",NI,12-9876619,929875474,1516364448
All will come alive.better correct any good looking figure there itself..,CX,12-9876557,929875481,1516364921
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,BZ,12-9876626,92-9875480,1516365433
"\"Beautiful Truth against Gravity.. Read carefully: \\Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"\" GOOD NIGHT\"\"\"",SR,129876593,929875502,1516364400
Yar lor... How u noe? U used dat route too?,MV,129876549,929875525,1516365547
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,BY,129876590,999999993,1516365258
Ok no prob,FO,129876584,929875515,1516365881
Love it! The girls at the office may wonder why you are smiling but sore...,KZ,129876602,929875512,1516365188
You are a winner U have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,SB,12-9876570,999999996,1516365340
"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",PY,12-9876538,929875486,1516366029
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",MV,129876566,999999993,1516365704
I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.,MD,129876602,929875434,1516365801
No b4 Thursday,TD,12-9876573,92-9875528,1516365571
Good Morning plz call me sir,ZM,129876565,92-9875493,1516365873
My drive can only be read. I need to write,GQ,12-9876543,92-9875484,1516365369
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,AE,129876624,92-9875516,1516365985
network operator. The service is free. For T & C's visit 80488.biz,NL,129876616,999999999,1516365396
We can make a baby in yo tho,ZM,12-9876552,92-9875518,1516364509
Yeah that'd pretty much be the best case scenario,WS,129876569,929875475,1516364657
"Sorry, I'll call later",CR,12-9876579,929875433,1516364845
I though we shd go out n have some fun so bar in town or something ��� sound ok?,IE,12-9876549,929875504,1516365388
I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,SR,12-9876544,929875498,1516365331
Kothi print out marandratha.,PT,12-9876622,92-9875498,1516365982
Ok then i'll let him noe later n ask him call u tmr...,CF,129876535,929875521,1516366000
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,ER,129876586,929875494,1516364690
