content,country,recipient,sender,timestamp
"Sorry, I'll call later",DZ,12-9876627,92-9875501,1516365460
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,PL,129876553,929875469,1516364359
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play �250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",EE,129876545,999999998,1516365104
"Yo my trip got postponed, you still stocked up?",AT,129876620,92-9875492,1516365478
You call him and tell now infront of them. Call him now.,NI,129876550,929875480,1516364341
"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",CR,129876544,929875444,1516366062
Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,EC,12-9876582,92-9875472,1516364165
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,KH,12-9876542,929875464,1516366078
"\"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \\ &lt;#&gt;  lac crore\"\" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\\\"\"\"\"\"",TM,12-9876556,92-9875517,1516365010
Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,SJ,12-9876577,92-9875450,1516365971
You still coming tonight?,AM,12-9876621,929875530,1516365042
"I can't, I don't have her number!",GM,12-9876586,92-9875485,1516364220
Okay. I've seen it. So i should pick it on friday?,UM,12-9876628,92-9875506,1516365732
Discussed with your mother ah?,AU,129876590,92-9875471,1516365363
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,ET,12-9876616,929875527,1516365266
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",CC,12-9876557,92-9875490,1516364783
"not that I know of, most people up here are still out of town",SD,129876541,929875494,1516365330
Hope you are feeling great. Pls fill me in. Abiola,KN,12-9876597,92-9875441,1516364797
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,IT,129876624,92-9875477,1516364594
No:-)i got rumour that you going to buy apartment in chennai:-),AW,129876566,929875501,1516364432
I think asking for a gym is the excuse for lazy people. I jog.,MC,12-9876597,92-9875526,1516365068
"Ela kano.,il download, come wen ur free..",ME,129876607,929875433,1516365138
Ok...,TG,12-9876596,92-9875456,1516365039
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,KG,129876595,999999996,1516365191
In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,BN,12-9876550,92-9875520,1516366060
I called and said all to him:)then he have to choose this future.,TD,12-9876569,92-9875449,1516365530
Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,CH,12-9876547,929875457,1516364454
When did i use soc... I use it only at home... �� dunno how 2 type it in word ar...,RU,12-9876601,92-9875470,1516366056
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,TJ,12-9876552,92-9875472,1516365900
Aiyah ok wat as long as got improve can already wat...,NO,12-9876606,92-9875488,1516365608
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",CI,129876597,999999995,1516365853
Why do you ask princess?,BY,12-9876564,929875453,1516364178
Ok. C u then.,AD,129876581,92-9875513,1516365212
"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",PE,129876620,929875475,1516365763
What you thinked about me. First time you saw me in class.,KW,129876566,929875514,1516365255
You have won a guaranteed 32000 award or maybe even �1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,MT,129876569,999999992,1516365951
Wewa is 130. Iriver 255. All 128 mb.,BT,12-9876550,929875461,1516364606
Cool. So how come you havent been wined and dined before?,BW,129876598,92-9875455,1516365877
"Now, whats your house # again ? And do you have any beer there ?",LV,12-9876607,92-9875446,1516365548
Do you know when dad will be back?,KY,12-9876549,929875530,1516365397
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(�1.50p. m),WS,12-9876576,999999999,1516365159
That's cause your old. I live to be high.,SY,12-9876575,92-9875457,1516364823
Are you planning to come chennai?,SY,129876621,92-9875482,1516364987
"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home",BY,129876627,92-9875497,1516365031
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,AZ,12-9876608,92-9875528,1516365481
"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",BA,129876554,92-9875484,1516365363
FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,VC,12-9876570,999999999,1516365462
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",BB,12-9876558,92-9875531,1516365362
Thank you. do you generally date the brothas?,TV,129876582,92-9875512,1516365599
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive �5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",AM,12-9876632,999999996,1516365082
U are subscribed to the best Mobile Content Service in the UK for �3 per 10 days until you send STOP to 82324. Helpline 08706091795,LK,12-9876562,999999991,1516364702
Sorry that was my uncle. I.ll keep in touch,BG,129876546,929875495,1516364830
Oh k.i think most of wi and nz players unsold.,SK,129876585,929875475,1516365588
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,AU,12-9876592,929875434,1516365504
Actually I decided I was too hungry so I haven't left yet :V,US,12-9876551,92-9875439,1516365156
So i'm doing a list of buyers.,TV,12-9876569,92-9875467,1516365223
Dude im no longer a pisces. Im an aquarius now.,LU,12-9876615,92-9875496,1516365180
"Jus chillaxin, what up",LR,129876533,92-9875513,1516364254
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,PF,129876628,92-9875436,1516366028
"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife....",BZ,12-9876580,929875442,1516364780
Can you just come in for a sec? There's somebody here I want you to see,HR,12-9876570,929875518,1516364383
"Not sure yet, still trying to get a hold of him",PY,12-9876575,92-9875449,1516364989
The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,BA,12-9876612,92-9875488,1516364282
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,IE,129876551,929875444,1516364779
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",SE,129876571,999999991,1516365458
\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,MD,12-9876569,92-9875446,1516365161
Wake me up at  &lt;#&gt;  am morning:),GT,12-9876568,929875515,1516364274
