content,country,recipient,sender,timestamp
"I'll text carlos and let you know, hang on",IS,12-9876591,92-9875449,1516365173
"\\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\"\"\"\"",RO,12-9876561,92-9875454,1516364468
"Ok., is any problem to u frm him? Wats matter?",KR,12-9876596,92-9875434,1516365877
Yes :)it completely in out of form:)clark also utter waste.,TT,12-9876600,929875497,1516364512
"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",BJ,12-9876613,92-9875498,1516364620
"Tee hee. Off to lecture, cheery bye bye.",AS,12-9876605,929875510,1516366001
Maybe you should find something else to do instead???,DZ,129876535,92-9875532,1516364338
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,GS,129876588,92-9875443,1516364721
That depends. How would you like to be treated? :),CV,129876572,929875471,1516364363
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",LV,12-9876608,929875488,1516364250
Hope you are having a good week. Just checking in,PA,129876601,929875443,1516364797
�� mean it's confirmed... I tot they juz say oni... Ok then...,SG,12-9876585,929875456,1516365311
"Babe, I'm back ... Come back to me ...",KR,129876571,929875507,1516365855
Was the farm open?,LT,129876547,929875457,1516364844
Pls confirm the time to collect the cheque.,IT,129876537,929875443,1516366107
"Haha better late than ever, any way I could swing by?",TD,129876589,92-9875523,1516365588
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,MV,12-9876574,999999998,1516365807
No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,TM,129876617,92-9875447,1516365087
Just send a text. We'll skype later.,SG,129876548,92-9875503,1516365562
"Aight, lemme know what's up",MD,129876548,92-9875481,1516365137
Are you ok. What happen to behave like this,LV,12-9876611,929875529,1516365193
Dear got train and seat mine lower seat,CC,129876557,92-9875491,1516364825
I'm good. Have you registered to vote?,GG,12-9876569,929875433,1516365427
Hey gals.. Anyone of u going down to e driving centre tmr?,NG,129876595,92-9875493,1516366035
"\\Im on gloucesterroad what are uup to later?\"\"\"\"",NP,12-9876574,929875470,1516364339
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",BZ,129876593,92-9875496,1516364654
"* Was really good to see you the other day dudette, been missing you!",VC,129876540,92-9875485,1516364952
"\"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \\KUDI\"\"yarasu dhina vaazhthukkal. ..\"\"\"",AR,12-9876619,929875465,1516365668
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,GE,12-9876536,929875434,1516364483
Oops. 4 got that bit.,MT,129876578,92-9875526,1516365122
meet you in corporation st outside gap ��_ you can see how my mind is working!,TR,129876539,929875491,1516364322
"Thanks da thangam, i feel very very happy dear. I also miss you da.",ER,12-9876549,92-9875530,1516365647
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,BT,12-9876541,999999999,1516364347
"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",AD,12-9876570,92-9875464,1516364696
Great! How is the office today?,EH,129876584,929875510,1516365728
Horrible bf... I now v hungry...,GW,12-9876604,92-9875438,1516365808
I am not at all happy with what you saying or doing,PH,12-9876555,92-9875521,1516364879
That sucks. I'll go over so u can do my hair. You'll do it free right?,GQ,12-9876575,92-9875512,1516364448
Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,BS,129876537,92-9875485,1516364483
Probably a couple hours tops,ST,12-9876536,92-9875527,1516366121
Yes.he have good crickiting mind,PH,129876594,929875484,1516364620
"Sorry, went to bed early, nightnight",BY,12-9876619,92-9875468,1516366088
Guess which pub im in? Im as happy as a pig in clover or whatever the saying is!,JO,129876551,929875484,1516364252
Pls speak with me. I wont ask anything other then you friendship.,IM,129876589,929875445,1516364653
No let me do the math. Your not good at it.,JM,12-9876605,92-9875457,1516365993
Actually getting ready to leave the house.,BZ,129876535,929875450,1516364767
Yeah jay's sort of a fucking retard,CC,12-9876575,92-9875499,1516365627
"Don't worry, * is easy once have ingredients!",MG,12-9876535,929875438,1516365838
Eat at old airport road... But now 630 oredi... Got a lot of pple...,ET,12-9876610,92-9875466,1516365184
I keep ten rs in my shelf:) buy two egg.,VE,129876569,92-9875494,1516365908
You should change your fb to jaykwon thuglyfe falconerf,UG,12-9876572,929875477,1516364830
Early bird! Any purchases yet?,NP,12-9876606,92-9875507,1516364536
What time is ur flight tmr?,HK,12-9876595,929875462,1516364237
Got meh... When?,LC,12-9876575,929875526,1516365884
I didn't get the second half of that message,BD,129876554,92-9875517,1516364808
Aaooooright are you at work?,JP,12-9876602,929875508,1516365620
I dont know exactly could you ask chechi.,PN,12-9876560,92-9875506,1516365325
* You gonna ring this weekend or wot?,CM,129876574,929875469,1516364635
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,TR,129876564,999999992,1516365419
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,BO,129876563,929875520,1516365607
I accidentally brought em home in the box,NE,12-9876541,92-9875434,1516365134
"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",RS,12-9876573,929875445,1516364347
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,XK,129876569,999999995,1516365679
Bring home some Wendy =D,JP,12-9876549,929875458,1516365151
Ringtone Club: Gr8 new polys direct to your mobile every week !,HN,12-9876540,999999996,1516365108
I love you both too :-),UM,12-9876597,929875452,1516365578
Is there any training tomorrow?,AN,12-9876572,92-9875455,1516364898
"No I'm good for the movie, is it ok if I leave in an hourish?",AI,129876626,929875457,1516364630
