content,country,recipient,sender,timestamp
Oooh bed ridden ey? What are YOU thinking of?,CN,12-9876614,92-9875499,1516365312
Yes. Rent is very expensive so its the way we save.,BB,12-9876571,929875462,1516364657
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp �1.50/msg,RU,12-9876536,999999996,1516365433
"Romantic Paris. 2 nights, 2 flights from �79 Book now 4 next year. Call 08704439680Ts&Cs apply.",AG,129876586,999999992,1516365261
R u sure they'll understand that! Wine * good idea just had a slurp!,CN,12-9876543,929875475,1516365782
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",KY,12-9876558,999999996,1516364430
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,HN,12-9876543,929875525,1516365220
"\"Your free ringtone is waiting to be collected. Simply text the password \\MIX\"\" to 85069 to verify. Get Usher and Britney. FML\"",AR,12-9876569,999999994,1516364884
Lol enjoy role playing much?,KZ,129876539,92-9875492,1516365630
Yes:)from last week itself i'm taking live call.,BM,12-9876558,92-9875447,1516364449
All day working day:)except saturday and sunday..,RS,12-9876571,929875436,1516365677
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,NA,129876556,92-9875456,1516364778
"Text me when you get off, don't call, my phones having problems",UZ,129876567,929875458,1516364632
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,IE,12-9876572,92-9875454,1516365627
"Sorry,in meeting I'll call later",BW,12-9876615,929875445,1516365839
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,EC,129876612,929875515,1516364177
The new deus ex game comin early next yr,PH,12-9876571,929875484,1516365132
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,FI,129876614,999999999,1516364303
"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or �10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",GR,129876616,999999993,1516365468
