content,country,recipient,sender,timestamp
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,TG,129876595,92-9875505,1516365532
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",UZ,12-9876569,92-9875530,1516365638
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,CM,12-9876559,92-9875492,1516364452
C movie is juz last minute decision mah. Juz watch 2 lar but i tot �_ not interested.,CZ,12-9876543,929875507,1516364644
Check wid corect speling i.e. Sarcasm,CD,12-9876606,929875498,1516365384
Ok... Help me ask if she's working tmr a not?,ME,12-9876571,92-9875523,1516364778
In da car park,CD,12-9876592,92-9875436,1516364775
My sister got placed in birla soft da:-),ES,12-9876549,92-9875473,1516365759
"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",NC,12-9876613,92-9875519,1516364707
"Today's Offer! Claim ur �150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. �3.00 Sub. 16 . Unsub reply X",DO,129876597,999999999,1516365656
Aiyo a bit pai seh �_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,LY,12-9876587,92-9875504,1516364565
We're on the opposite side from where we dropped you off,FO,129876614,929875464,1516364916
Call me when u finish then i come n pick u.,SC,12-9876553,929875491,1516365273
Hui xin is in da lib.,VE,129876622,92-9875477,1516364572
Oh wow thats gay. Will firmware update help,KN,129876584,929875476,1516365553
I know girls always safe and selfish know i got it pa. Thank you. good night.,FO,12-9876614,92-9875532,1516365460
"Its ok, called mom instead have fun",GN,12-9876541,92-9875531,1516365723
She told to hr that he want posting in chennai:)because i'm working here:),MR,129876536,92-9875484,1516364597
Thank you. I like you as well...,GB,12-9876549,929875530,1516364166
How. Its a little difficult but its a simple way to enter this place,GQ,12-9876610,92-9875501,1516364745
Ok...,CO,12-9876536,929875462,1516365765
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,ZM,12-9876574,999999994,1516364716
Lol that's different. I don't go trying to find every real life photo you ever took.,GP,129876579,92-9875476,1516365393
"sir, you will receive the account no another 1hr time. Sorry for the delay.",NO,129876545,929875461,1516365425
I will reach ur home in  &lt;#&gt;  minutes,ID,12-9876564,92-9875518,1516365809
"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",MC,12-9876582,929875487,1516365741
Anything lor but toa payoh got place 2 walk meh...,EG,129876558,92-9875523,1516364697
No dear i was sleeping :-P,LS,129876547,92-9875466,1516364346
