content,country,recipient,sender,timestamp
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",IQ,129876629,92-9875447,1516366071
"Final Chance! Claim ur �150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. �3.00 Subs 16",HM,129876626,999999995,1516364865
"\"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \\DRINK\"\". . . But don't \\\"\"DRIVE \\\"\"\"\"\"",SL,129876590,92-9875526,1516364694
You will be in the place of that man,AS,12-9876614,929875528,1516365902
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,ER,12-9876555,92-9875447,1516365491
Y lei?,LB,12-9876534,929875477,1516365077
And he's apparently bffs with carly quick now,NZ,12-9876623,929875474,1516365814
U coming 2 pick me?,TF,129876629,92-9875445,1516365565
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,IQ,129876577,92-9875508,1516365064
I have lost 10 kilos as of today!,GW,12-9876586,92-9875472,1516365277
Bognor it is! Should be splendid at this time of year.,PN,12-9876573,92-9875505,1516365771
K:)k:)good:)study well.,CX,129876622,929875438,1516365508
When you guys planning on coming over?,LK,129876603,92-9875485,1516365166
Hey are you angry with me. Reply me dr.,PH,12-9876550,929875520,1516365235
I to am looking forward to all the sex cuddling.. Only two more sleeps,ID,12-9876578,92-9875482,1516365892
"Yeah, that's fine! It's �6 to get in, is that ok?",LK,12-9876564,92-9875477,1516364431
Don know..wait i will check it.,GM,129876583,92-9875435,1516364472
Si si. I think ill go make those oreo truffles.,MK,12-9876582,92-9875464,1516365411
"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",BN,129876592,999999999,1516365888
Now only i reached home. . . I am very tired now. . I will come tomorro,TM,12-9876625,929875526,1516365998
U can call now...,SC,12-9876572,92-9875440,1516365315
Which channel:-):-):):-).,TC,129876579,92-9875479,1516365774
My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,BR,129876554,92-9875474,1516365116
Sounds like something that someone testing me would sayy,CY,129876603,929875463,1516365476
