content,country,recipient,sender,timestamp
On ma way to school. Can you pls send me ashley's number,TM,12-9876580,92-9875528,1516365426
I am going to sleep. I am tired of travel.,NA,129876566,92-9875443,1516364703
either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,AI,12-9876560,929875438,1516364863
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",UZ,12-9876628,92-9875463,1516365257
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,LU,129876537,929875471,1516364230
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",TG,12-9876621,999999991,1516365021
Oh... Okie lor...We go on sat...,MX,129876605,92-9875510,1516365412
"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",BS,129876548,929875509,1516366027
"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",AM,12-9876534,92-9875495,1516365927
"Just checked out, heading out to drop off my stuff now",GH,12-9876597,92-9875527,1516364879
"I'm a guy, browsin is compulsory",CC,129876584,929875526,1516365998
How many licks does it take to get to the center of a tootsie pop?,IE,129876547,929875473,1516366094
Wat r u doing?,LC,129876593,929875516,1516365629
"I've got  &lt;#&gt; , any way I could pick up?",CR,129876607,929875530,1516365717
Yes baby! We can study all the positions of the kama sutra ;),JE,12-9876572,92-9875501,1516364510
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,SE,129876628,999999997,1516364277
S da..al r above  &lt;#&gt;,CI,129876595,929875476,1516365832
It is only yesterday true true.,MP,12-9876571,92-9875509,1516364231
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ZW,129876569,92-9875524,1516365353
Allo! We have braved the buses and taken on the trains and triumphed. I mean we���re in b���ham. Have a jolly good rest of week,SK,129876545,92-9875531,1516364940
u r a winner U ave been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),LU,12-9876600,999999992,1516364266
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",CU,12-9876574,92-9875505,1516365959
"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",ML,129876597,92-9875459,1516366066
How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,MD,129876543,929875499,1516364646
But i have to. I like to have love and arrange.,GQ,12-9876582,92-9875467,1516364205
�� predict wat time �_'ll finish buying?,GY,129876546,929875462,1516366044
"Dad wanted to talk about the apartment so I got a late start, omw now",PG,12-9876608,92-9875446,1516364326
I'm at home n ready...,DJ,12-9876539,929875499,1516364847
Yay can't wait to party together!,ZA,129876580,929875449,1516365316
To day class is there are no class.,CO,12-9876537,929875494,1516364352
Are you willing to go for aptitude class.,AM,12-9876547,929875476,1516365577
Wot u up 2? Thout u were gonna call me!! Txt bak luv K,CI,129876628,92-9875439,1516364968
I wil be there with in  &lt;#&gt;  minutes. Got any space,MZ,12-9876630,929875480,1516365774
ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,GI,12-9876553,92-9875516,1516365931
Are you going to write ccna exam this week??,LV,129876570,929875525,1516365258
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",TG,12-9876598,92-9875518,1516365050
Why de. You looking good only:-)..,CA,12-9876626,929875441,1516365901
Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,IE,129876550,929875528,1516365474
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),TW,129876597,92-9875458,1516366011
Ugh my leg hurts. Musta overdid it on mon.,EH,129876566,929875471,1516365243
"",SA,12-9876615,92-9875441,1516365022
Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,TK,129876560,92-9875438,1516366062
I am not sure about night menu. . . I know only about noon menu,BF,129876595,92-9875479,1516364860
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",JP,12-9876559,929875471,1516364191
Super msg da:)nalla timing.,AM,129876556,92-9875473,1516364613
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,CV,129876541,92-9875532,1516364764
Good. Good job. I like entrepreneurs,NF,129876545,929875527,1516364181
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ID,12-9876547,92-9875471,1516364379
XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a �2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,PN,129876613,999999999,1516364910
Then get some cash together and I'll text jason,HT,129876582,929875482,1516364527
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",AZ,129876594,999999991,1516364363
"Dear, will call Tmorrow.pls accomodate.",BD,129876569,929875487,1516364391
"Yun ah.the ubi one say if �_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.̬n",AI,129876597,929875504,1516365633
Dear i am not denying your words please,HM,129876552,929875482,1516365243
R u over scratching it?,DM,12-9876570,929875518,1516364165
Ok...,PE,12-9876594,92-9875452,1516365276
She's borderline but yeah whatever.,MC,129876534,92-9875461,1516365683
Ok no prob...,BW,12-9876568,929875527,1516364634
And whenever you and i see we can still hook up too.,PM,12-9876596,929875467,1516365709
Meet after lunch la...,MQ,129876583,929875438,1516364931
I pocked you up there before,KY,12-9876573,92-9875493,1516364882
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",IS,129876609,999999995,1516365237
"Win the newest ��Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",MQ,12-9876629,999999996,1516364341
Want to send me a virtual hug?... I need one,VA,12-9876557,92-9875522,1516365950
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?,VC,129876599,92-9875468,1516366108
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,ZM,129876612,999999994,1516366034
Do �_ all wan 2 meet up n combine all the parts? How's da rest of da project going?,BD,12-9876614,929875480,1516364558
"Haha, that was the first person I was gonna ask",MU,129876543,929875510,1516365450
I cant pick the phone right now. Pls send a message,LA,129876590,92-9875447,1516365548
"You are a �1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",MO,129876585,999999993,1516365235
"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",VI,129876574,92-9875512,1516364829
K...k...yesterday i was in cbe .,KY,12-9876558,92-9875449,1516365918
(That said can you text him one more time?),ZW,129876564,92-9875439,1516365423
Is fujitsu s series lifebook good?,IL,12-9876578,92-9875524,1516365231
Hey you around? I've got enough for a half + the ten I owe you,FI,12-9876615,929875450,1516364670
"K will do, addie &amp; I are doing some art so I'll be here when you get home",DJ,129876577,929875452,1516365155
They finally came to fix the ceiling.,DZ,129876593,92-9875518,1516365121
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",JM,12-9876545,92-9875483,1516364305
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,XK,129876627,999999992,1516365096
