content,country,recipient,sender,timestamp
Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,MV,12-9876579,929875469,1516364490
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",PF,129876534,999999995,1516365245
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,GD,129876595,999999991,1516365291
"\"Wishing you and your family Merry \\X\"\" mas and HAPPY NEW Year in advance..\"\"\"",EC,12-9876555,929875474,1516364529
S:-)kallis wont play in first two odi:-),MQ,12-9876586,92-9875519,1516364377
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,PE,12-9876538,92-9875448,1516365163
"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",VN,12-9876540,92-9875486,1516364393
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,MW,129876583,92-9875522,1516364757
INTERFLORA - ��It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,QA,12-9876628,999999995,1516365133
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,DK,12-9876572,92-9875531,1516364634
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,NE,129876624,92-9875435,1516365439
Ok.. �� finishing soon?,AO,12-9876579,92-9875462,1516365090
Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,UY,129876543,929875510,1516364619
I notice you like looking in the shit mirror youre turning into a right freak,KR,12-9876591,92-9875525,1516365849
aathi..where are you dear..,SL,129876597,92-9875502,1516364273
"Cool, text me when you're ready",MH,129876608,929875531,1516365125
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,ZA,129876592,929875473,1516366124
Want to finally have lunch today?,IR,129876540,92-9875434,1516365359
Hi its in durban are you still on this number,CK,12-9876598,92-9875497,1516365767
U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,CN,12-9876555,92-9875507,1516364945
"Probably not, still going over some stuff here",RE,12-9876611,92-9875473,1516364777
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,UZ,12-9876613,999999994,1516366041
GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,TC,129876606,999999991,1516365429
You still around? I could use a half-8th,TF,12-9876610,929875486,1516364219
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,CC,12-9876558,929875505,1516364480
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,BS,129876550,92-9875520,1516365883
Goin to workout lor... Muz lose e fats...,TW,129876614,929875437,1516365744
Does daddy have a bb now.,UA,12-9876557,92-9875530,1516365550
get ready to moan and scream :),VN,12-9876581,929875454,1516365113
Dont pick up d call when something important is There to tell. Hrishi,RE,12-9876624,92-9875437,1516365395
THIS IS A LONG FUCKIN SHOWR,GW,129876538,929875472,1516364757
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,EC,12-9876616,999999997,1516365886
Nt joking seriously i told,NE,129876602,92-9875485,1516365883
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",AS,12-9876533,929875448,1516365535
"Probably gonna be here for a while, see you later tonight &lt;)",CR,12-9876578,929875514,1516365734
I told that am coming on wednesday.,TV,12-9876609,929875464,1516365969
You sure your neighbors didnt pick it up,SK,129876626,92-9875520,1516364442
U repeat e instructions again. Wat's e road name of ur house?,GW,129876619,929875473,1516364593
"Better than bb. If he wont use it, his wife will or them doctor",MS,129876614,929875494,1516365167
"Hey elaine, is today's meeting still on?",MW,12-9876582,92-9875489,1516365805
If you don't respond imma assume you're still asleep and imma start calling n shit,LA,129876563,929875438,1516366056
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,BI,12-9876566,929875462,1516365601
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,AR,12-9876579,92-9875516,1516365746
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,JE,129876599,92-9875480,1516365679
Gud mrng dear hav a nice day,BN,12-9876584,92-9875501,1516365886
Oh... Kay... On sat right?,SV,12-9876601,929875444,1516365523
Where are you lover ? I need you ...,AD,12-9876577,929875508,1516365853
