content,country,recipient,sender,timestamp
"I call you later, don't have network. If urgnt, sms me.",NO,129876536,929875485,1516365227
"'An Amazing Quote'' - \\Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\"\"\"\"",BM,129876567,929875524,1516366146
Why are u up so early?,AZ,129876600,92-9875527,1516364719
For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,KY,12-9876602,929875477,1516364628
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,PL,12-9876588,999999996,1516364580
Nobody can decide where to eat and dad wants Chinese,BO,129876578,92-9875461,1516365208
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,GA,12-9876540,929875444,1516365340
Ew are you one of them?,CV,12-9876550,92-9875471,1516365773
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,DO,12-9876566,929875464,1516364517
K.then any other special?,PS,12-9876533,92-9875466,1516364590
"Sure thing big man. i have hockey elections at 6, shouldn���t go on longer than an hour though",BD,12-9876578,92-9875531,1516364504
Not tonight mate. Catching up on some sleep. This is my new number by the way.,CX,12-9876557,929875440,1516364792
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",PL,129876561,929875459,1516365294
Hey u still at the gym?,EG,129876615,929875448,1516365245
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,SL,12-9876588,999999996,1516364965
So what about you. What do you remember,MK,129876618,929875511,1516365554
.Please charge my mobile when you get up in morning.,LV,12-9876576,929875464,1516364394
"Yeah why not, is the gang all ready",TT,129876580,92-9875474,1516364935
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",AG,129876553,999999999,1516364617
Nite...,NG,129876541,92-9875508,1516365837
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,KM,12-9876598,92-9875469,1516364450
Ok. How many should i buy.,BY,129876619,92-9875451,1516364679
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs!",BD,129876608,929875530,1516365432
Remember on that day..,GE,129876533,92-9875489,1516364258
"Nothing, i got msg frm tht unknown no..",WS,12-9876569,92-9875530,1516365561
Long after I quit. I get on only like 5 minutes a day as it is.,RS,12-9876555,92-9875514,1516365585
S.i'm watching it in live..,BG,129876555,92-9875449,1516364736
Same as kallis dismissial in 2nd test:-).,AF,129876596,929875525,1516364646
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX �1.50,TO,129876587,999999996,1516365779
"Oops, I'll let you know when my roommate's done",BF,129876617,92-9875499,1516364631
Ok,KW,129876609,92-9875440,1516365580
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. �1.50 increments. Help08718728876",RW,129876593,999999998,1516364823
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,NC,12-9876624,999999994,1516365823
I know a few people I can hit up and fuck to the yes,FO,12-9876630,929875495,1516365054
I am not having her number sir,CN,129876617,929875449,1516365800
No i am not having not any movies in my laptop,ML,12-9876558,929875493,1516365996
Dude got a haircut. Now its breezy up there,SR,12-9876581,92-9875459,1516365915
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",PK,12-9876596,999999993,1516365201
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldn��t make ur b��day 2 hun!",MQ,12-9876622,929875502,1516365989
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",LI,129876542,92-9875435,1516365813
Home so we can always chat,SK,12-9876550,929875499,1516365756
You are a very very very very bad girl. Or lady.,SJ,12-9876539,929875469,1516365408
Or remind me in a few hrs.,DJ,129876591,92-9875510,1516365688
I liked your new house,TG,12-9876601,929875445,1516365015
"Trust me. Even if isn't there, its there.",PW,12-9876566,929875449,1516364219
Rofl betta invest in some  anti aging products,AU,129876597,92-9875529,1516364245
LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,TF,129876549,999999999,1516365518
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",PW,12-9876552,929875494,1516365108
"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",TJ,12-9876581,92-9875478,1516365135
Text her. If she doesnt reply let me know so i can have her log in,NG,12-9876590,92-9875507,1516365998
Prabha..i'm soryda..realy..frm heart i'm sory,ES,129876595,929875491,1516365070
Dont kick coco when he's down,TN,129876606,929875450,1516365020
"\"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \\Ur Lovely Friendship\"\"... good morning dear\"\"\"",GI,12-9876539,929875456,1516364881
Then mum's repent how?,MY,129876563,929875527,1516365939
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",LS,129876565,929875455,1516365085
Sounds like you have many talents! would you like to go on a dinner date next week?,PS,12-9876578,929875527,1516364988
Nothing just getting msgs by dis name wit different no's..,MO,129876596,92-9875472,1516364726
Convey my regards to him,KG,12-9876554,92-9875492,1516364650
Ur balance is now �500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,TH,12-9876565,999999992,1516365774
Oh thanks a lot..i already bought 2 eggs ..,NE,12-9876590,92-9875459,1516366038
R u meeting da ge at nite tmr?,HU,129876571,929875492,1516364648
Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,LC,12-9876547,929875502,1516364301
That's significant but dont worry.,DE,129876535,929875529,1516365375
"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 �3/wk",UY,12-9876604,999999991,1516364395
"Hmm well, night night",TT,129876588,929875532,1516365410
"It'll be tough, but I'll do what I have to",GR,129876548,929875441,1516365962
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls �1/minMobsmoreLKPOBOX177HP51FL,KN,12-9876612,999999993,1516364758
Dont talk to him ever ok its my word.,GT,129876629,92-9875460,1516365161
Now press conference da:),TF,129876534,92-9875438,1516365205
"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",IL,129876595,929875454,1516365420
"URGENT! Your mobile No 07xxxxxxxxx won a �2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",CI,12-9876621,999999993,1516365214
If i not meeting �_ all rite then i'll go home lor. If �_ dun feel like comin it's ok.,TM,129876569,929875497,1516365923
"\"Best line said in Love: . \\I will wait till the day I can forget u Or The day u realize that u cannot forget me.\"\"... Gn\"\"\"",CY,12-9876608,929875435,1516364346
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only �1.50/week. SavaMob - offers mobile!",DM,129876570,999999999,1516364639
Don���t give a flying monkeys wot they think and I certainly don���t mind. Any friend of mine and all that!,PE,12-9876549,92-9875507,1516364478
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,RO,12-9876536,92-9875498,1516365544
Double eviction this week - Spiral and Michael and good riddance to them!,GD,129876619,929875530,1516365512
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,NZ,129876559,929875457,1516365838
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,SY,129876558,92-9875457,1516364687
Honey boo I'm missing u.,TZ,12-9876611,92-9875436,1516364712
I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,FR,12-9876631,929875468,1516364235
Going to join tomorrow.,KH,129876602,92-9875524,1516364419
Anything lar then �_ not going home 4 dinner?,JE,129876592,929875481,1516365985
"Sounds good, keep me posted",CF,12-9876581,929875487,1516364420
Nope i waiting in sch 4 daddy...,TV,129876618,92-9875458,1516364296
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",VG,129876590,929875495,1516364723
Understand. his loss is my gain :) so do you work? School?,ML,12-9876555,929875517,1516364249
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,MD,12-9876538,929875463,1516365168
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,FR,129876576,92-9875468,1516364517
"Damn, can you make it tonight or do you want to just wait til tomorrow",PK,129876620,929875448,1516366113
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,NC,12-9876548,92-9875499,1516365366
Hey what happen de. Are you alright.,CI,12-9876546,929875504,1516364881
Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,QA,12-9876587,999999990,1516366106
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",SJ,12-9876595,92-9875485,1516365792
"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",VG,129876608,929875459,1516365170
