content,country,recipient,sender,timestamp
"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",IE,12-9876600,92-9875466,1516364167
I love working from home :),FI,12-9876578,929875462,1516364338
Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,DE,12-9876567,929875517,1516365861
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",CM,129876599,929875496,1516365754
Yun buying... But school got offer 2000 plus only...,CM,12-9876622,929875463,1516366064
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,KW,129876593,999999998,1516365049
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,HU,129876597,999999993,1516365895
Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,HR,129876582,999999990,1516365994
"I've got ten bucks, jay is being noncomittal",CM,129876629,929875532,1516366127
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,CN,129876568,999999999,1516365103
Its ok..come to my home it vl nice to meet and v can chat..,HN,129876559,929875484,1516364652
"\"Beautiful Truth against Gravity.. Read carefully: \\Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"\" GOOD NIGHT\"\"\"",HK,129876571,929875489,1516365650
"Customer place, i wil cal u sir.",SV,129876585,92-9875531,1516365227
A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die,DE,12-9876591,92-9875498,1516364762
Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ZW,129876606,929875436,1516364377
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,GG,129876563,929875500,1516365605
"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",ZA,129876541,929875453,1516364577
Hi Harish's rent has been transfred to ur Acnt.,NI,12-9876611,929875460,1516364197
Have a good evening! Ttyl,PW,129876535,929875501,1516364625
Please CALL 08712402902 immediately as there is an urgent message waiting for you.,GH,129876611,999999993,1516365895
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,AG,129876628,92-9875504,1516364665
Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,GW,12-9876547,999999992,1516364299
"Fuuuuck I need to stop sleepin, sup",NG,129876572,92-9875473,1516365886
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,NI,129876615,999999993,1516365393
Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls�1/minmoremobsEMSPOBox45PO139WA,CC,129876605,999999993,1516364691
I like you peoples very much:) but am very shy pa.,ES,12-9876632,929875447,1516365292
Yes there were many sweets,CR,129876568,929875488,1516364335
All e best 4 ur exam later.,MZ,129876615,92-9875531,1516364669
See the forwarding message for proof,MX,129876565,929875457,1516365232
I wanna watch that movie,PF,129876591,929875455,1516364475
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ML,12-9876564,92-9875506,1516364371
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,NO,129876557,999999990,1516364934
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,CY,12-9876594,92-9875470,1516365979
Love you aathi..love u lot..,EH,12-9876562,929875506,1516364998
If you r @ home then come down within 5 min,OM,129876561,92-9875434,1516365290
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",CU,129876610,929875531,1516364709
As in different styles?,CV,129876622,92-9875447,1516365736
3. You have received your mobile content. Enjoy,GN,129876546,999999999,1516365467
HMM yeah if your not too grooved out! And im looking forward to my pound special :),BA,12-9876566,92-9875496,1516364698
Ya just telling abt tht incident..,TO,129876601,929875476,1516365018
"Its ok, if anybody asks abt me, u tel them..:-P",WS,12-9876589,929875500,1516366144
"\\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"\"",CH,129876617,92-9875472,1516365490
No calls..messages..missed calls,KH,12-9876534,929875480,1516364918
"Evening * v good if somewhat event laden. Will fill you in, don't you worry ��_ Head * ok but throat * wrecked. See you at six then!",AO,129876580,929875492,1516364501
Just got to  &lt;#&gt;,MU,12-9876624,92-9875441,1516365738
Din i tell u jus now 420,BV,12-9876590,929875473,1516365621
