content,country,recipient,sender,timestamp
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,KG,12-9876535,929875490,1516365345
"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",SC,12-9876554,92-9875469,1516365133
"Dizzamn, aight I'll ask my suitemates when I get back",NL,129876551,92-9875469,1516365148
Mmmm.... I cant wait to lick it!,ES,129876539,92-9875434,1516365185
You in your room? I need a few,ER,12-9876568,92-9875527,1516366098
"I dont knw pa, i just drink milk..",CZ,129876599,929875490,1516364319
Lol they don't know about my awesome phone. I could click delete right now if I want.,AE,12-9876583,929875458,1516364889
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,NO,129876566,929875518,1516365449
"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \\suppliers\"\"",LI,129876557,999999991,1516365649
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",MU,12-9876609,92-9875526,1516364171
"Sorry,in meeting I'll call later",PY,129876618,92-9875521,1516365531
:-) yeah! Lol. Luckily i didn't have a starring role like you!,SC,12-9876575,92-9875501,1516364659
Ok,FI,129876565,92-9875518,1516364900
Ok i also wan 2 watch e 9 pm show...,KY,12-9876564,92-9875433,1516365811
Call me when u're done...,IS,129876562,92-9875531,1516364852
Will be office around 4 pm. Now i am going hospital.,DZ,129876632,92-9875477,1516365592
"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",GS,129876561,999999995,1516365214
Tell me again what your address is,AS,129876566,929875498,1516364243
twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,RU,12-9876547,92-9875476,1516364631
Yeah no probs - last night is obviously catching up with you... Speak soon,PY,12-9876566,929875490,1516364179
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june.",VC,12-9876592,92-9875444,1516365269
Send his number and give reply tomorrow morning for why you said that to him like that ok,PY,12-9876575,929875518,1516364480
Thank You meet you monday,SD,12-9876591,92-9875465,1516364957
Gud mrng dear have a nice day,AZ,129876555,929875460,1516365759
"Come to me right now, Ahmad",LR,129876536,92-9875517,1516365106
i felt so...not any conveying reason.. Ese he... What about me?,GU,129876584,929875514,1516364403
�� ready then call me...,FJ,12-9876630,929875458,1516364323
And I don't plan on staying the night but I prolly won't be back til late,KP,12-9876625,92-9875518,1516365671
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",NF,129876557,929875438,1516365562
She doesnt need any test.,CY,12-9876574,929875460,1516364204
Dont you have message offer,SL,129876623,92-9875510,1516365206
Yup having my lunch buffet now.. U eat already?,JO,12-9876580,929875504,1516364603
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,MR,129876598,999999997,1516365697
Jus ans me lar. U'll noe later.,ZA,12-9876602,929875443,1516364678
Dunno da next show aft 6 is 850. Toa payoh got 650.,GD,129876596,92-9875465,1516364352
Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,TD,12-9876545,92-9875443,1516364526
Okie.. Thanx..,SG,12-9876586,92-9875478,1516365745
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",TL,129876630,92-9875455,1516364666
Guessin you ain't gonna be here before 9?,MS,12-9876628,929875500,1516365714
URGENT! We are trying to contact U. Todays draw shows that you have won a �800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,DE,129876599,999999991,1516365890
* Will have two more cartons off u and is very pleased with shelves,MX,129876594,92-9875496,1516365326
Dont put your phone on silent mode ok,MD,129876617,92-9875493,1516366134
Hey anyway i have to :-),TG,12-9876606,929875518,1516365532
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,RW,12-9876536,999999994,1516364599
